Plate	Well	GeneID	Entrez_gene_ID	sub_lib
9	B08	MAP2K2	5605	KIN
9	B09	MAPK10	5602	KIN
9	B10	CALM2	805	KIN
9	B11	KHK	3795	KIN
9	B12	PLK1	5347	KIN
9	C01	siCON2		
9	C02	GUK1	2987	KIN
9	C03	CKM	1158	KIN
9	C04	MAP4K3	8491	KIN
9	C05	PRKDC	5591	KIN
9	C06	PRPF4B	8899	KIN
9	C07	RIOK3	8780	KIN
9	C08	KIAA1765	85443	KIN
9	C09	EXOSC10	5394	KIN
9	C10	PGK1	5230	KIN
9	C11	AK3L1	50808	KIN
9	C12	MOCK		
9	D01	allSTAR		
9	D02	PLK3	1263	KIN
9	D03	EFNB3	1949	KIN
9	D04	EPHB3	2049	KIN
9	D05	PRKCB1	5579	KIN
9	D06	DGKD	8527	KIN
9	D07	EPHB4	2050	KIN
9	D08	MGC45428	166614	KIN
9	D09	CHKB	1120	KIN
9	D10	PRKAR2B	5577	KIN
9	D11	PCK2	5106	KIN
9	D12	siCON1		
9	E01	PLK1	5347	KIN
9	E02	AMHR2	269	KIN
9	E03	DUSP21	63904	KIN
9	E04	CDKN2B	1030	KIN
9	E05	DLG1	1739	KIN
