Plate	Well	GeneID	EntrezGene_ID	sublib
3	B06			
3	B07			
3	B08			
3	B09			
3	B10			
3	B11			
3	B12			
3	B13			
3	B14			
3	B15			
3	B16			
3	B17			
3	B18			
3	B19			
3	B20			
3	B21			
3	B22			
3	B23			
3	B24			
3	C01			
3	C02			
3	C03	AGXT2	64902	MET
3	C04			
3	C05	PYCRL	65263	MET
3	C06			
3	C07	SLC2A11	66035	MET
3	C08			
3	C09	SLC25A23	79085	MET
3	C10			
3	C11	PPP1R3B	79660	MET
3	C12			
3	C13	SLC25A22	79751	MET
3	C14			
3	C15	FLJ21934	79799	MET
3	C16			
3	C17	EHMT1	79813	MET
3	C18			
3	C19	AGMAT	79814	MET
3	C20			
3	C21	PGAP1	80055	MET
3	C22			
3	C23			
3	C24			
3	D01			
3	D02			
3	D03			
3	D04			
3	D05			
3	D06			
3	D07			
3	D08			
3	D09			
3	D10			
3	D11			
3	D12			
3	D13			
3	D14			
3	D15			
3	D16			
3	D17			
3	D18			
3	D19			
3	D20			
3	D21			
3	D22			
3	D23			
3	D24			
3	E01			
3	E02			
3	E03	ASRGL1	80150	MET
3	E04			
3	E05	SMP3	80235	MET
3	E06			
3	E07	ADPN	80339	MET
3	E08			
3	E09	MGC5601	80724	MET
3	E10			
3	E11	NPL	80896	MET
3	E12			
3	E13	SLC2A10	81031	MET
3	E14			
3	E15	MFTC	81034	MET
3	E16			
3	E17	SFXN3	81855	MET
3	E18			
3	E19	SLC25A28	81894	MET
3	E20			
3	E21	ELOVL3	83401	MET
3	E22			
3	E23			
3	E24			
3	F01			
3	F02			
3	F03			
3	F04			
3	F05			
3	F06			
3	F07			
3	F08			
3	F09			
3	F10			
3	F11			
3	F12			
3	F13			
3	F14			
3	F15			
3	F16			
3	F17			
3	F18			
3	F19			
3	F20			
3	F21			
3	F22			
3	F23			
3	F24			
3	G01			
3	G02			
3	G03	SLC25A18	83733	MET
3	G04			
3	G05	SLC25A2	83884	MET
3	G06			
3	G07	DGAT2	84649	MET
3	G08			
3	G09	MCEE	84693	MET
3	G10			
3	G11	CREB3L3	84699	MET
3	G12			
3	G13	GPT2	84706	MET
3	G14			
3	G15	PIGO	84720	MET
3	G16			
3	G17	KIAA1959	84959	MET
3	G18			
3	G19	MGC14156	84992	MET
3	G20			
3	G21	SLC22A16	85413	MET
3	G22			
3	G23			
3	G24			
3	H01			
3	H02			
3	H03			
3	H04			
3	H05			
3	H06			
3	H07			
3	H08			
3	H09			
3	H10			
3	H11			
3	H12			
3	H13			
3	H14			
3	H15			
3	H16			
3	H17			
3	H18			
3	H19			
3	H20			
3	H21			
3	H22			
3	H23			
3	H24			
3	I01			
3	I02			
3	I03	SLC25A21	89874	MET
3	I04			
3	I05	CREB3L1	90993	MET
3	I06			
3	I07	ACY-3	91703	MET
3	I08			
3	I09	MCART1	92014	MET
3	I10			
3	I11	LDHAL6B	92483	MET
3	I12			
3	I13	PIGM	93183	MET
3	I14			
3	I15	PIGS	94005	MET
3	I16			
3	I17	SFXN1	94081	MET
3	I18			
3	I19	SFXN5	94097	MET
3	I20			
3	I21	SAT2	112483	MET
3	I22			
3	I23			
3	I24			
3	J01			
3	J02			
3	J03			
3	J04			
3	J05			
3	J06			
3	J07			
3	J08			
3	J09			
3	J10			
3	J11			
3	J12			
3	J13			
3	J14			
3	J15			
3	J16			
3	J17			
3	J18			
3	J19			
3	J20			
3	J21			
3	J22			
3	J23			
3	J24			
3	K01			
3	K02			
3	K03	WBSCR22	114049	MET
3	K04			
3	K05	SLC2A13	114134	MET
3	K06			
3	K07	SLC25A25	114789	MET
3	K08			
3	K09	SLC25A26	115286	MET
3	K10			
3	K11	IHPK3	117283	MET
3	K12			
3	K13	SFXN2	118980	MET
3	K14			
3	K15	SFXN4	119559	MET
3	K16			
3	K17	TPH2	121278	MET
3	K18			
3	K19	AK7	122481	MET
3	K20			
3	K21	SOCS4	122809	MET
3	K22			
3	K23			
3	K24			
3	L01			
3	L02			
3	L03			
3	L04			
3	L05			
3	L06			
3	L07			
3	L08			
3	L09			
3	L10			
3	L11			
3	L12			
3	L13			
3	L14			
3	L15			
3	L16			
3	L17			
3	L18			
3	L19			
3	L20			
3	L21			
3	L22			
3	L23			
3	L24			
3	M01			
3	M02			
3	M03	SLC25A29	123096	MET
3	M04			
3	M05	NTAN1	123803	MET
3	M06			
3	M07	CPT1C	126129	MET
3	M08			
3	M09	GNPDA2	132789	MET
3	M10			
